There are 10 documents in this data set and contains 815 terms.
bank        : 23
insur       : 18
bid         : 16
great       : 16
west        : 16
royal       : 15
israel      : 13
london      : 12
percent     : 12
reuter      : 12
canada      : 11
compani     : 11
lebanon     : 11
group       : 10
pari        : 10
franc       : 9
isra        : 9
million     : 9
offer       : 9
over        : 9
attack      : 8
billion     : 8
corp        : 8
dynatec     : 8
french      : 8
toronto     : 8
under       : 8
advertis    : 7
british     : 7
civilian    : 7
european    : 7
financi     : 7
hizbollah   : 7
june        : 7
share       : 7
stock       : 7
tuesday     : 7
award       : 6
canadian    : 6
channel     : 6
deal        : 6
inc         : 6
largest     : 6
market      : 6
news        : 6
open        : 6
power       : 6
product     : 6
sector      : 6
trade       : 6
accord      : 5
busi        : 5
council     : 5
fashion     : 5
lead        : 5
netanyahu   : 5
network     : 5
one         : 5
palestinian : 5
posit       : 5
rocket      : 5
secur       : 5
sherritt    : 5
stake       : 5
televis     : 5
tender      : 5
three       : 5
adopt       : 4
analyst     : 4
armi        : 4
australia   : 4
bureau      : 4
car         : 4
eec         : 4
europ       : 4
hour        : 4
independ    : 4
interest    : 4
intern      : 4
jezzin      : 4
katyusha    : 4
made        : 4
media       : 4
more        : 4
now         : 4
pay         : 4
presid      : 4
pro         : 4
public      : 4
sharehold   : 4
side        : 4
state       : 4
top         : 4
trilon      : 4
alreadi     : 3
amauri      : 3
arafat      : 3
author      : 3
big         : 3
bomb        : 3
both        : 3
brand       : 3
call        : 3
canal       : 3
caus        : 3
chang       : 3
comment     : 3
common      : 3
conserv     : 3
control     : 3
day         : 3
direct      : 3
fund        : 3
higher      : 3
hold        : 3
internet    : 3
kill        : 3
launch      : 3
major       : 3
match       : 3
militia     : 3
monday      : 3
name        : 3
northern    : 3
out         : 3
part        : 3
peopl       : 3
plus        : 3
premium     : 3
publish     : 3
quiet       : 3
respond     : 3
respons     : 3
right       : 3
servic      : 3
shell       : 3
stand       : 3
statement   : 3
strong      : 3
subsidiari  : 3
third       : 3
thought     : 3
town        : 3
tribun      : 3
violenc     : 3
whether     : 3
world       : 3
wound       : 3
year        : 3
abl         : 2
acquir      : 2
act         : 2
activ       : 2
agre        : 2
agreement   : 2
aim         : 2
appeal      : 2
articl      : 2
asset       : 2
bay         : 2
belgian     : 2
border      : 2
britain     : 2
broadcast   : 2
carri       : 2
cash        : 2
chief       : 2
communiti   : 2
compet      : 2
comput      : 2
cost        : 2
countri     : 2
declar      : 2
dure        : 2
echo        : 2
ensur       : 2
equiti      : 2
establish   : 2
event       : 2
follow      : 2
fourth      : 2
further     : 2
general     : 2
german      : 2
gold        : 2
hard        : 2
head        : 2
immedi      : 2
investor    : 2
islam       : 2
italia      : 2
join        : 2
key         : 2
lahd        : 2
last        : 2
law         : 2
lebanes     : 2
lehto       : 2
lifeco      : 2
lme         : 2
man         : 2
manag       : 2
mean        : 2
minist      : 2
month       : 2
mordechai   : 2
myhal       : 2
new         : 2
newspap     : 2
north       : 2
number      : 2
offici      : 2
old         : 2
outsid      : 2
parisien    : 2
parliament  : 2
per         : 2
peter       : 2
preliminari : 2
prepar      : 2
procedur    : 2
protect     : 2
pull        : 2
purchas     : 2
quarter     : 2
race        : 2
radio       : 2
rain        : 2
refer       : 2
regul       : 2
replac      : 2
report      : 2
repres      : 2
result      : 2
robert      : 2
round       : 2
sale        : 2
schneider   : 2
second      : 2
secretari   : 2
see         : 2
set         : 2
seven       : 2
sewn        : 2
shoot       : 2
sidon       : 2
sla         : 2
soper       : 2
southern    : 2
spokesman   : 2
station     : 2
struck      : 2
struggl     : 2
sunday      : 2
surpris     : 2
syria       : 2
target      : 2
technolog   : 2
tee         : 2
time        : 2
told        : 2
tom         : 2
tough       : 2
tour        : 2
treati      : 2
tyre        : 2
union       : 2
victori     : 2
view        : 2
war         : 2
way         : 2
wednesday   : 2
well        : 2
work        : 2
zone        : 2
absorb      : 1
accept      : 1
accus       : 1
adam        : 1
adveris     : 1
afterward   : 1
against     : 1
ail         : 1
air         : 1
airlin      : 1
alain       : 1
albert      : 1
alexand     : 1
allenbi     : 1
alloc       : 1
allow       : 1
alum        : 1
ame         : 1
amend       : 1
ammirati    : 1
andrea      : 1
ani         : 1
annan       : 1
announc     : 1
antoin      : 1
apart       : 1
appar       : 1
applebi     : 1
appoint     : 1
approxim    : 1
april       : 1
ardenn      : 1
area        : 1
argentina   : 1
ask         : 1
attent      : 1
auction     : 1
audiovisuel : 1
aug         : 1
aujourd     : 1
austrian    : 1
aveng       : 1
await       : 1
back        : 1
balanc      : 1
barrag      : 1
base        : 1
battl       : 1
beat        : 1
becaus      : 1
becom       : 1
befor       : 1
beirut      : 1
believ      : 1
below       : 1
benjamin    : 1
bernd       : 1
better      : 1
beyond      : 1
bidder      : 1
bit         : 1
bizinfo     : 1
bloodi      : 1
bob         : 1
bologna     : 1
bought      : 1
boutinard   : 1
